"# Tm","Pos","Player","Age","Tm","Pts Won","Pts Max","Share","1st Tm","2nd Tm","3rd Tm","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","avg_PTS","avg_AST","avg_TRB","avg_STL","avg_BLK","avg_WS","norm_PTS","norm_AST","norm_TRB","norm_STL","norm_BLK","norm_WS","MVP_index","Year"
"2nd","F","Charles Barkley",28,"PHI",196,480,0.408,6,NA,NA,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.16721504112808,0.903639159405433,1.53029817249118,1.28571428571429,0.654822335025381,1.30495928941525,1.93205392136288,1992
"3rd","F","Dennis Rodman",30,"DET",179,480,0.373,5,NA,NA,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.4951821386604,0.50691952844695,2.57806989419686,0.571428571428572,0.982233502538071,1.33678756476684,1.52327740870096,1992
"3rd","G","Mark Price",27,"CLE",81,480,0.169,0,NA,NA,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.874148061104583,1.63095848282932,0.330875280538634,0.928571428571429,0.218274111675127,0.96545768566494,1.44928009660005,1992
"3rd","G","Kevin Johnson",25,"PHO",78,480,0.162,2,NA,NA,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.995417156286721,2.3582778062532,0.510099390830394,1.07142857142857,0.32741116751269,1.06094251171971,1.81245337495236,1992
"3rd","C","Brad Daugherty",26,"CLE",70,480,0.146,3,NA,NA,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.08636897767333,0.793439261916966,1.43379288233408,0.642857142857143,1.2005076142132,1.24130273871206,1.79643510471527,1992
"3rd","F","Kevin Willis",29,"ATL",38,480,0.079,0,NA,NA,81,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.924676850763807,0.462839569451563,2.13690285347868,0.642857142857143,0.763959390862944,0.933629410313348,1.67040315126262,1992
"ORV","G","Jeff Hornacek",28,"PHO",50,480,0.104,0,NA,NA,81,38,20.1,5,5.1,2,0.4,0.512,0.439,0.886,11.6,0.181,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.01562867215041,1.12403895438237,0.689323501122155,1.42857142857143,0.436548223350254,1.23069331359487,1.63695951382786,1992
"ORV","C","Hakeem Olajuwon",29,"HOU",37,480,0.077,0,NA,NA,70,37.7,21.6,12.1,2.2,1.8,4.3,0.502,0,0.766,9.8,0.178,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.09142185663925,0.484879548949257,1.66816287271561,1.28571428571429,4.69289340101523,1.03972366148532,2.16521740862337,1992
"ORV","G","Joe Dumars",28,"DET",28,480,0.058,1,NA,NA,82,38.9,19.9,2.3,4.6,0.9,0.1,0.448,0.408,0.867,8.2,0.123,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.00552291421857,1.0138390568939,0.317088810516191,0.642857142857143,0.109137055837563,0.869972859610165,1.34284564703837,1992
"ORV","F","Larry Johnson",22,"CHH",26,480,0.054,0,NA,NA,82,37.2,19.2,11,3.6,1,0.6,0.49,0.227,0.829,8.9,0.14,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.970152761457109,0.793439261916966,1.51651170246874,0.714285714285714,0.654822335025381,0.944238835430545,1.63215658050781,1992
"ORV","F","Danny Manning",25,"LAC",26,480,0.054,0,NA,NA,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.975205640423032,0.771399282419272,0.951266431548573,1.14285714285714,1.63705583756345,1.03972366148532,1.64478078809524,1992
"ORV","F","Larry Bird",35,"BOS",21,480,0.044,0,NA,NA,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.02068155111633,1.49871860584316,1.32350112215454,0.642857142857143,0.763959390862944,0.583518381445843,1.75030958348138,1992
"ORV","F","Reggie Lewis*",26,"BOS",17,480,0.035,0,NA,NA,82,37.4,20.8,4.8,2.3,1.5,1.3,0.503,0.238,0.851,9.1,0.143,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.05099882491187,0.50691952844695,0.661750561077268,1.07142857142857,1.41878172588832,0.96545768566494,1.52680626489198,1992
"ORV","F","Larry Nance",32,"CLE",16,480,0.033,0,NA,NA,81,35.6,17,8.3,2.9,1,3,0.539,0,0.822,12.2,0.204,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.858989424206815,0.639159405433111,1.14427701186278,0.714285714285714,3.2741116751269,1.29434986429805,1.72604286227539,1992
"ORV","G","Isiah Thomas",30,"DET",10,480,0.021,0,NA,NA,78,37.4,18.5,3.2,7.2,1.5,0.2,0.446,0.291,0.772,5.8,0.095,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.934782608695652,1.58687852383393,0.441167040718179,1.07142857142857,0.218274111675127,0.615346656797434,1.47610974492453,1992
"ORV","G","Mitch Richmond",26,"SAC",9,480,0.019,0,NA,NA,80,38.7,22.5,4,5.1,1.2,0.4,0.468,0.384,0.813,4.9,0.076,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.13689776733255,1.12403895438237,0.551458800897724,0.857142857142857,0.436548223350254,0.51986183074266,1.53574103534677,1992
"ORV","F","Horace Grant",26,"CHI",8,480,0.017,0,NA,NA,81,35.3,14.2,10,2.7,1.2,1.6,0.578,0,0.741,14.1,0.237,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.717508813160987,0.595079446437724,1.37864700224431,0.857142857142857,1.74619289340102,1.4959289415248,1.5521615789824,1992
"ORV","F","Detlef Schrempf",29,"IND",8,480,0.017,0,NA,NA,80,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.874148061104583,0.859559200410046,1.32350112215454,0.571428571428572,0.545685279187817,1.03972366148532,1.51275346380925,1992
"ORV","F","Glen Rice",24,"MIA",6,480,0.012,0,NA,NA,79,38.1,22.3,5,2.3,1.1,0.4,0.469,0.391,0.836,7.9,0.126,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.12679200940071,0.50691952844695,0.689323501122155,0.785714285714286,0.436548223350254,0.838144584258574,1.44844230345808,1992
"ORV","F","Otis Thorpe",29,"HOU",6,480,0.012,0,NA,NA,82,37.3,17.3,10.5,3,0.6,0.5,0.592,0,0.657,8.9,0.14,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.874148061104583,0.661199384930805,1.44757935235652,0.428571428571429,0.545685279187817,0.944238835430545,1.46557462929601,1992
"ORV","G","Kendall Gill",23,"CHH",3,480,0.006,0,NA,NA,79,36.8,20.5,5.1,4.2,1.9,0.6,0.467,0.24,0.745,4.7,0.077,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.0358401880141,0.925679138903127,0.703109971144598,1.35714285714286,0.654822335025381,0.498642980508265,1.51186239421628,1992
"ORV","G","Jeff Malone",30,"UTA",3,480,0.006,0,NA,NA,81,36.1,20.2,2.9,2.2,0.7,0.1,0.511,0.083,0.898,6.6,0.108,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.02068155111633,0.484879548949257,0.39980763065085,0.5,0.109137055837563,0.700222057735011,1.2036640500371,1992
"ORV","C","Robert Parish",38,"BOS",3,480,0.006,0,NA,NA,79,28.9,14.1,8.9,0.9,0.9,1.2,0.535,NA,0.772,7.4,0.155,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.712455934195065,0.198359815479241,1.22699583199744,0.642857142857143,1.30964467005076,0.785097458672588,1.2393184593169,1992
"ORV","F","Dominique Wilkins",32,"ATL",3,480,0.006,0,NA,NA,42,38.1,28.1,7,3.8,1.2,0.6,0.464,0.289,0.835,5.1,0.152,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.41985898942421,0.837519220912353,0.965052901571016,0.857142857142857,0.654822335025381,0.541080680977054,1.81888884352359,1992
"ORV","F","Buck Williams",31,"POR",3,480,0.006,0,NA,NA,80,31.5,11.3,8.8,1.4,0.8,0.5,0.604,0,0.754,9.2,0.175,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.570975323149236,0.308559712967709,1.21320936197499,0.571428571428572,0.545685279187817,0.976067110782137,1.09534397893402,1992
"ORV","G","Reggie Miller",26,"IND",2,480,0.004,0,0,2,82,38,20.7,3.9,3.8,1.3,0.3,0.501,0.378,0.858,11,0.169,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.04594594594595,0.837519220912353,0.537672330875281,0.928571428571429,0.32741116751269,1.16703676289169,1.48120841874583,1992
"ORV","G","Ricky Pierce",32,"SEA",2,480,0.004,0,0,2,78,34.1,21.7,3,3.1,1.1,0.3,0.475,0.268,0.916,7.8,0.142,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.09647473560517,0.683239364428498,0.413594100673293,0.785714285714286,0.32741116751269,0.827535159141377,1.38683097395349,1992
"ORV","F","James Worthy",30,"LAL",2,480,0.004,0,0,2,54,39,19.9,5.6,4.7,1.4,0.4,0.447,0.209,0.814,3.1,0.07,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.00552291421857,1.03587903639159,0.772042321256813,1,0.436548223350254,0.328892178633111,1.44938731991695,1992
"ORV","G","Mookie Blaylock",24,"NJN",1,480,0.002,0,0,1,72,35.4,13.8,3.7,6.8,2.4,0.6,0.432,0.222,0.712,4.9,0.092,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.697297297297297,1.49871860584316,0.510099390830394,1.71428571428571,0.654822335025381,0.51986183074266,1.37493241654873,1992
"ORV","F","Derrick Coleman",24,"NJN",1,480,0.002,0,0,1,65,34,19.8,9.5,3.2,0.8,1.5,0.504,0.303,0.763,5.6,0.121,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,1.00047003525264,0.705279343926192,1.30971465213209,0.571428571428572,1.63705583756345,0.59412780656304,1.61409213910034,1992
"ORV","F","Terry Cummings",30,"SAS",1,480,0.002,0,0,1,70,30.7,17.3,9,1.5,0.8,0.5,0.488,0.385,0.711,6.5,0.145,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.874148061104583,0.330599692465402,1.24078230201988,0.571428571428572,0.545685279187817,0.689612632617814,1.3073172274593,1992
"ORV","G","Ron Harper",28,"LAC",1,480,0.002,0,0,1,82,38.3,18.2,5.5,5.1,1.9,0.9,0.44,0.303,0.736,5.6,0.085,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.919623971797885,1.12403895438237,0.75825585123437,1.35714285714286,0.982233502538071,0.59412780656304,1.52932968579504,1992
"ORV","G","Mark Jackson",26,"NYK",1,480,0.002,0,0,1,81,30.4,11.3,3.8,8.6,1.4,0.2,0.491,0.256,0.77,7.6,0.149,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.570975323149236,1.89543823680164,0.523885860852837,1,0.218274111675127,0.806316308906982,1.30438614043657,1992
"ORV","G","Terry Porter",28,"POR",1,480,0.002,0,0,1,82,34,18.1,3.1,5.8,1.5,0.1,0.461,0.395,0.856,10.6,0.182,19.7906976744186,4.53720930232558,7.25348837209302,1.4,0.916279069767442,9.42558139534884,0.914571092831962,1.27831881086622,0.427380570695736,1.07142857142857,0.109137055837563,1.1245990624229,1.44482814174611,1992
"1st","F","Charles Barkley",29,"PHO",490,490,1,98,0,0,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.34060061985679,1.0535413153457,1.82813455657492,1.16840536512668,1.12903225806452,1.69942196531792,2.2775565209824,1993
"1st","G","Michael Jordan",29,"CHI",490,490,1,98,0,0,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.70717110184888,1.13617200674536,1.0039755351682,2.04470938897168,0.903225806451613,2.02986512524085,2.50004705528595,1993
"1st","C","Hakeem Olajuwon",30,"HOU",455,490,0.929,83,NA,NA,82,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.36678422571337,0.723018549747049,1.9480122324159,1.31445603576751,4.74193548387097,1.86464354527938,2.64652075986719,1993
"1st","F","Karl Malone",29,"UTA",377,490,0.769,45,NA,NA,82,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.41391471625521,0.784991568296796,1.6782874617737,1.09538002980626,1.12903225806452,1.81743737957611,2.24200836624529,1993
"1st","G","Mark Price",28,"CLE",344,490,0.702,44,NA,NA,75,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.953083253179438,1.65261382799325,0.404587155963303,0.876304023845007,0.112903225806452,1.15655105973025,1.54917023245737,1993
"2nd","F","Dominique Wilkins",33,"ATL",372,490,0.759,47,NA,NA,71,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.56577963022336,0.661045531197302,1.01896024464832,0.730253353204173,0.451612903225806,1.23916184971098,1.97668605123974,1993
"2nd","G","John Stockton",30,"UTA",294,490,0.6,26,NA,NA,82,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.790744896868654,2.47892074198988,0.434556574923547,1.75260804769001,0.338709677419355,1.2509633911368,1.75774152790474,1993
"2nd","C","Patrick Ewing",30,"NYK",292,490,0.596,15,NA,NA,81,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.26728652345837,0.392495784148398,1.8131498470948,0.657228017883756,2.25806451612903,1.2509633911368,2.0444143886493,1993
"2nd","G","Joe Dumars",29,"DET",290,490,0.592,24,NA,NA,77,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.23062947525916,0.826306913996627,0.284709480122324,0.730253353204173,0.112903225806452,1.07394026974952,1.50766437710056,1993
"2nd","F","Larry Johnson",23,"CHH",155,490,0.316,3,NA,NA,82,40.5,22.1,10.5,4.3,0.6,0.3,0.526,0.254,0.767,9.6,0.139,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.15731537886075,0.888279932546374,1.57339449541284,0.438152011922504,0.338709677419355,1.13294797687861,1.78889927554438,1993
"3rd","F","Scottie Pippen",27,"CHI",136,490,0.278,1,NA,NA,81,38.6,18.6,7.7,6.3,2.1,0.9,0.473,0.237,0.663,8.6,0.132,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.9740301378647,1.30143338954469,1.15382262996942,1.53353204172876,1.01612903225806,1.01493256262042,1.80024410696203,1993
"3rd","G","Tim Hardaway",26,"GSW",99,490,0.202,3,NA,NA,66,39.5,21.5,4,10.6,1.8,0.2,0.447,0.33,0.744,7.5,0.138,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.12589505183285,2.18971332209106,0.599388379204893,1.31445603576751,0.225806451612903,0.885115606936416,1.88478505656877,1993
"3rd","G","Dražen Petrović",28,"NJN",86,490,0.176,0,NA,NA,70,38,22.3,2.7,3.5,1.3,0.2,0.518,0.449,0.87,8.4,0.152,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.16778882120338,0.723018549747049,0.404587155963303,0.949329359165425,0.225806451612903,0.991329479768786,1.48234548643344,1993
"3rd","C","David Robinson",27,"SAS",72,490,0.147,0,NA,NA,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.22539275408785,0.76433389544688,1.75321100917431,1.09538002980626,3.61290322580645,1.55780346820809,2.31419927521806,1993
"3rd","F","Derrick Coleman",25,"NJN",60,490,0.122,1,NA,NA,76,36.3,20.7,11.2,3.6,1.2,1.7,0.46,0.232,0.808,9.5,0.165,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.08400128246233,0.743676222596965,1.6782874617737,0.876304023845007,1.91935483870968,1.12114643545279,1.92042979863592,1993
"ORV","C","Shaquille O'Neal",20,"ORL",58,490,0.118,0,NA,NA,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.22539275408785,0.392495784148398,2.082874617737,0.511177347242921,3.95161290322581,1.22736030828516,2.22953987503128,1993
"ORV","F","Danny Manning",26,"LAC",55,490,0.112,0,NA,NA,79,34.9,22.8,6.6,2.6,1.4,1.3,0.509,0.267,0.802,7.9,0.137,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.19397242705995,0.537099494097808,0.988990825688073,1.02235469448584,1.46774193548387,0.932321772639692,1.72555845048736,1993
"ORV","G","Dan Majerle",27,"PHO",49,490,0.1,1,NA,NA,82,39,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,9.8,0.147,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.885005877952335,0.784991568296796,0.704281345565749,1.24143070044709,0.451612903225806,1.15655105973025,1.42310995015433,1993
"ORV","F","Shawn Kemp",23,"SEA",45,490,0.092,1,NA,NA,78,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.932136368494175,0.413153456998314,1.60336391437309,1.09538002980626,2.14516129032258,1.07394026974952,1.7349836101135,1993
"ORV","F","Detlef Schrempf",30,"IND",28,490,0.057,0,NA,NA,82,37.8,19.1,9.5,6,1,0.3,0.476,0.154,0.804,10.4,0.161,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.00021374372128,1.23946037099494,1.42354740061162,0.730253353204173,0.338709677419355,1.22736030828516,1.75692328718379,1993
"ORV","F","Reggie Lewis",27,"BOS",26,490,0.053,0,NA,NA,80,39.3,20.8,4.3,3.7,1.5,1,0.47,0.233,0.867,8.3,0.127,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.08923800363364,0.76433389544688,0.64434250764526,1.09538002980626,1.12903225806452,0.979527938342967,1.59292992321847,1993
"ORV","G","Kevin Johnson",26,"PHO",14,490,0.029,0,NA,NA,49,33.5,16.1,2.1,7.8,1.7,0.4,0.499,0.125,0.819,5.1,0.148,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.84311210858181,1.61129848229342,0.314678899082569,1.24143070044709,0.451612903225806,0.601878612716763,1.41557018448425,1993
"ORV","F","Dennis Rodman",31,"DET",14,490,0.029,0,NA,NA,62,38.9,7.5,18.3,1.6,0.8,0.7,0.427,0.205,0.534,5.5,0.11,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.392754087848669,0.330522765598651,2.74220183486239,0.584202682563338,0.790322580645161,0.649084778420039,1.31719966347805,1993
"ORV","G","Reggie Miller",27,"IND",11,490,0.022,0,NA,NA,82,36,21.2,3.1,3.2,1.5,0.3,0.479,0.399,0.88,11.3,0.183,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.11018488831891,0.661045531197302,0.464525993883792,1.09538002980626,0.338709677419355,1.33357418111753,1.51298588981559,1993
"ORV","F","Larry Nance",33,"CLE",9,490,0.018,0,NA,NA,77,35.8,16.5,8.7,2.9,0.7,2.6,0.549,0,0.818,10.7,0.187,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.864058993267073,0.599072512647555,1.30366972477064,0.511177347242921,2.93548387096774,1.26276493256262,1.70101361567367,1993
"ORV","G","John Starks",27,"NYK",8,490,0.016,0,NA,NA,80,31,17.5,2.6,5.1,1.1,0.2,0.428,0.321,0.795,7.5,0.145,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.916426204980229,1.0535413153457,0.38960244648318,0.80327868852459,0.225806451612903,0.885115606936416,1.32960275949561,1993
"ORV","G","Clyde Drexler",30,"POR",7,490,0.014,0,NA,NA,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.0421075130918,1.17748735244519,0.944036697247706,1.38748137108793,0.903225806451613,0.708092485549133,1.69935161348299,1993
"ORV","F","Sean Elliott",24,"SAS",7,490,0.014,0,NA,NA,70,37.2,17.2,4.6,3.8,1,0.4,0.491,0.356,0.795,6.1,0.113,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.900716041466282,0.784991568296796,0.689296636085627,0.730253353204173,0.451612903225806,0.719894026974952,1.31531561395787,1993
"ORV","G","Isiah Thomas",31,"DET",7,490,0.014,0,NA,NA,79,37,17.6,2.9,8.5,1.6,0.2,0.418,0.308,0.737,3.7,0.061,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.921662926151544,1.75590219224283,0.434556574923547,1.16840536512668,0.225806451612903,0.436657032755299,1.48986476930008,1993
"ORV","G","Jeff Hornacek",29,"PHI",6,490,0.012,0,NA,NA,79,36.2,19.1,4.3,6.9,1.7,0.3,0.47,0.39,0.865,6.3,0.106,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.00021374372128,1.42537942664418,0.64434250764526,1.24143070044709,0.338709677419355,0.74349710982659,1.58714008281002,1993
"ORV","F","Chris Mullin",29,"GSW",6,490,0.012,0,NA,NA,46,41.3,25.9,5,3.6,1.5,0.9,0.51,0.451,0.81,4.9,0.122,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.35631078337074,0.743676222596965,0.749235474006116,1.09538002980626,1.01612903225806,0.578275529865125,1.75616878653356,1993
"ORV","F","Clifford Robinson",26,"POR",5,490,0.01,0,NA,NA,82,31.4,19.1,6.6,2.2,1.2,2,0.473,0.247,0.69,6.8,0.127,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.00021374372128,0.454468802698145,0.988990825688073,0.876304023845007,2.25806451612903,0.802504816955684,1.59484847861433,1993
"ORV","G","Kenny Anderson",22,"NJN",4,490,0.008,0,NA,NA,55,36.5,16.9,4.1,8.2,1.7,0.2,0.435,0.28,0.776,4.4,0.106,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.885005877952335,1.69392917369309,0.614373088685015,1.24143070044709,0.225806451612903,0.519267822736031,1.5096941565728,1993
"ORV","G","Mookie Blaylock",25,"ATL",4,490,0.008,0,NA,NA,80,35.3,13.4,3.5,8.4,2.5,0.3,0.429,0.375,0.728,7,0.119,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.701720636956289,1.73524451939292,0.524464831804281,1.82563338301043,0.338709677419355,0.826107899807322,1.46665433837841,1993
"ORV","C","Brad Daugherty",27,"CLE",4,490,0.008,0,NA,NA,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.05781767660575,0.90893760539629,1.52844036697248,0.511177347242921,0.903225806451613,1.498795761079,1.82185831390809,1993
"ORV","G","Mark Jackson",27,"LAC",3,490,0.006,0,NA,NA,82,38,14.4,4.7,8.8,1.7,0.1,0.486,0.268,0.803,7.9,0.122,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.754087848669445,1.81787521079258,0.704281345565749,1.24143070044709,0.112903225806452,0.932321772639692,1.50909107654645,1993
"ORV","G","Scott Skiles",28,"ORL",3,490,0.006,0,NA,NA,78,39.6,15.4,3.7,9.4,1.1,0,0.467,0.34,0.892,8,0.125,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.806455060382601,1.94182124789207,0.554434250764526,0.80327868852459,0,0.944123314065511,1.49117428893252,1993
"ORV","G","Doug West",25,"MIN",3,490,0.006,0,NA,NA,80,38.8,19.3,3.1,2.9,1.1,0.3,0.517,0.087,0.841,4.3,0.066,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,1.01068718606391,0.599072512647555,0.464525993883792,0.80327868852459,0.338709677419355,0.507466281310212,1.26476815427489,1993
"ORV","G","Ricky Pierce",33,"SEA",2,490,0.004,0,0,2,77,28.8,18.2,2.5,2.9,1.3,0.1,0.489,0.372,0.889,7.7,0.167,19.0959183673469,4.84081632653061,6.6734693877551,1.36938775510204,0.885714285714286,8.4734693877551,0.953083253179438,0.599072512647555,0.374617737003058,0.949329359165425,0.112903225806452,0.908718689788054,1.2484202269216,1993
